1319,"東陽",54,-4.33031218529708,47.5,1.57971233913702,10434,6605
1402,"遠東新",84,-1,29.7,.862632538664145,12773,14807
1513,"中興電",93,-2.71646859083192,57.3,.926911680615481,17831,19237
1609,"大亞",47,-9.20770877944326,21.2,6.16754079254079,21167,3432
1611,"中電",30,-3.20855614973262,18.1,2.39143546441496,7930,3316
2314,"台揚",102,-2.5,44.85,1.29169657812874,16194,12537
2419,"仲琦",276,-7.43243243243243,27.4,1.17045743098632,32266,27567
2498,"宏達電",562,-.933125972006221,63.7,1.27048837059468,78877,62084
2504,"國產",12,-4.65587044534413,23.55,2.83710575139147,7646,2695
2610,"華航",255,-2.32018561484919,21.05,.959466715559805,73262,76357
2618,"長榮航",755,-2.53565768621236,30.75,1.04631247563071,72454,69247
2634,"漢翔",254,-2.87958115183246,37.1,.868540104336485,42621,49072
3062,"建漢",136,-4.44810543657331,29,1.87200696560731,21500,11485
3141,"晶宏",44,-6.74603174603175,117.5,1.60223387280602,7029,4387
3189,"景碩",223,-4.61538461538462,124,1.93223003723624,23351,12085
3380,"明泰",57,-1.62866449511401,30.2,1.87856328392246,16475,8770
3491,"昇達科",98,-2.44648318042813,159.5,2.51811002178649,18493,7344
3508,"位速",100,.344827586206897,43.65,2.02243313201035,16408,8113
3707,"漢磊",67,-3.01455301455301,93.3,.817234691050152,14747,18045
4162,"智擎",59,-5.4380664652568,93.9,1.50655132934741,11843,7861
5258,"虹堡",59,-4.11392405063291,60.6,.978497926585778,6371,6511
5425,"台半",153,-8.38709677419355,71,2.0484628333481,23121,11287
6116,"彩晶",99,4.01647785787848,10.1,5.50027277686852,40328,7332
6237,"驊訊",90,-5.05709624796085,58.2,1.76856993190152,16881,9545
6245,"立端",52,-3.05555555555556,69.8,1.10391293081109,12780,11577
6443,"*元晶",64,-3.77643504531722,31.85,.854539178460476,12378,14485
8028,"昇陽半導體",86,-2.76073619631902,63.4,2.71502511797838,17835,6569
8069,"元太",240,-3.2258064516129,180,.843041119173694,12896,15297
8076,"伍豐",22,-1.28205128205128,30.8,11.895474137931,11039,928
8390,"金益鼎",142,-.317460317460317,31.4,4.45669988925803,20122,4515
9945,"潤泰新",47,-2.41796200345423,56.5,.885176748502489,10492,11853
